itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
916,4.216,0.92,5.024,6.115,0.849,7.305,0.981,0.458,0.771,1.76,0.418,1.545,0.48,0.353,0.272,2.648,4.55,1.804,0.989,0.358,5.88,3.221,0.957,0.68,0.41
917,4.082,0.944,4.984,5.486,0.842,7.189,0.833,0.417,0.757,1.866,0.442,1.336,0.516,0.286,0.287,3.539,4.621,1.346,0.865,0.378,4.834,2.308,0.794,0.701,0.473
918,4.786,1.128,5.407,5.836,0.98,7.272,0.735,0.404,0.817,2.329,0.467,1.374,0.554,0.286,0.294,4.627,5.069,1.198,0.793,0.398,3.975,1.984,1.078,0.94,0.533
919,6.101,1.419,6.419,6.913,1.21,7.804,0.701,0.393,0.911,2.936,0.49,1.54,0.586,0.325,0.292,5.694,5.85,1.291,0.775,0.416,3.62,1.961,1.643,1.322,0.582
920,7.627,1.715,7.882,8.315,1.438,8.892,0.74,0.372,0.998,3.455,0.506,1.703,0.602,0.369,0.287,6.482,6.745,1.499,0.793,0.428,3.978,1.995,2.274,1.707,0.613
921,8.887,1.907,9.426,9.507,1.574,10.465,0.829,0.343,1.049,3.734,0.512,1.815,0.595,0.393,0.284,6.81,7.506,1.706,0.816,0.428,5.158,2.122,2.789,1.948,0.621
922,9.413,1.912,10.634,9.978,1.566,12.175,0.925,0.315,1.062,3.665,0.504,1.819,0.562,0.385,0.289,6.635,7.984,1.812,0.808,0.417,6.976,2.555,3.038,1.953,0.6
923,8.982,1.722,11.16,9.491,1.417,13.532,0.987,0.299,1.07,3.258,0.478,1.687,0.507,0.359,0.301,6.18,8.118,1.774,0.748,0.402,8.878,3.442,2.953,1.71,0.552
924,7.753,1.407,10.753,8.188,1.191,14.067,0.995,0.298,1.101,2.644,0.432,1.442,0.437,0.339,0.315,5.83,7.915,1.609,0.643,0.391,10.31,4.669,2.583,1.305,0.486
925,6.287,1.087,9.677,6.578,0.984,13.797,0.952,0.312,1.174,1.994,0.374,1.157,0.364,0.35,0.324,5.966,7.439,1.379,0.525,0.397,10.987,5.844,2.079,0.881,0.415
926,5.4,0.88,8.324,5.507,0.889,12.946,0.879,0.337,1.288,1.558,0.316,1.044,0.306,0.402,0.321,6.804,6.78,1.275,0.45,0.43,10.91,6.532,1.702,0.609,0.358
927,5.656,0.837,7.287,5.606,0.935,12.046,0.803,0.376,1.406,1.556,0.273,1.321,0.275,0.494,0.305,8.189,5.979,1.537,0.473,0.497,10.493,6.478,1.685,0.603,0.334
928,7.053,0.923,6.717,6.904,1.081,11.361,0.75,0.427,1.489,2.051,0.251,2.058,0.276,0.608,0.277,9.773,5.158,2.274,0.612,0.589,10.279,5.772,2.089,0.862,0.348
929,9.006,1.053,6.646,8.774,1.238,11.11,0.729,0.483,1.494,2.896,0.248,3.114,0.301,0.712,0.245,10.985,4.602,3.337,0.83,0.68,10.52,4.761,2.774,1.267,0.385
930,10.701,1.144,6.793,10.328,1.336,11.16,0.734,0.536,1.409,3.804,0.253,4.194,0.337,0.776,0.219,11.426,4.593,4.399,1.053,0.742,11.173,3.87,3.487,1.656,0.424
931,11.641,1.16,7.043,11.039,1.351,11.227,0.755,0.577,1.256,4.504,0.258,4.999,0.369,0.791,0.205,11.138,5.323,5.114,1.211,0.756,11.734,3.361,3.995,1.896,0.45
932,11.753,1.1,7.115,10.848,1.296,11.033,0.79,0.6,1.07,4.802,0.256,5.324,0.384,0.757,0.205,10.464,6.867,5.278,1.261,0.72,11.873,3.212,4.125,1.912,0.456
933,11.244,0.987,6.873,9.967,1.2,10.264,0.846,0.601,0.889,4.645,0.247,5.114,0.374,0.701,0.214,9.828,8.995,4.895,1.213,0.65,11.275,3.197,3.833,1.701,0.439
934,10.442,0.858,6.331,8.771,1.087,8.941,0.937,0.584,0.738,4.11,0.235,4.465,0.34,0.644,0.222,9.496,11.244,4.16,1.115,0.573,10.054,3.106,3.211,1.348,0.409
935,9.633,0.754,5.584,7.622,0.979,7.13,1.072,0.562,0.606,3.438,0.233,3.666,0.295,0.597,0.221,9.486,13.126,3.403,1.018,0.512,8.621,2.969,2.508,0.979,0.377
936,9.03,0.714,4.841,6.79,0.91,5.302,1.278,0.554,0.503,3.004,0.253,3.123,0.26,0.574,0.211,9.538,14.462,2.978,0.969,0.476,7.454,2.992,2.011,0.715,0.351
937,8.752,0.757,4.302,6.361,0.905,4.041,1.552,0.576,0.48,3.104,0.297,3.108,0.251,0.576,0.196,9.441,15.42,3.032,0.984,0.46,6.9,3.345,1.87,0.617,0.336
938,8.98,0.872,4.251,6.474,0.975,3.905,1.843,0.631,0.567,3.758,0.356,3.617,0.272,0.586,0.189,9.134,16.308,3.419,1.041,0.453,7.065,4.125,2.086,0.671,0.328
939,10.015,1.035,4.73,7.473,1.115,5.068,2.067,0.7,0.76,4.696,0.414,4.396,0.311,0.581,0.192,8.747,17.492,3.818,1.102,0.44,7.84,5.287,2.502,0.805,0.321
940,12.096,1.206,5.784,9.685,1.297,7.37,2.143,0.756,1.001,5.48,0.456,5.053,0.351,0.544,0.206,8.542,19.04,3.916,1.125,0.417,8.889,6.632,2.871,0.934,0.309
941,15.117,1.348,7.087,13.116,1.463,10.147,2.042,0.777,1.215,5.767,0.471,5.296,0.374,0.475,0.221,8.747,20.76,3.624,1.108,0.389,9.794,7.891,3.044,1.011,0.293
942,18.352,1.427,8.319,17.09,1.556,12.547,1.801,0.752,1.314,5.385,0.455,4.971,0.375,0.408,0.23,9.308,22.247,3.053,1.084,0.359,10.048,8.75,2.954,1.029,0.276
943,20.66,1.427,8.915,20.366,1.537,13.708,1.528,0.691,1.28,4.395,0.415,4.113,0.352,0.425,0.227,9.86,22.918,2.402,1.101,0.327,9.573,8.967,2.62,1.004,0.26
944,21.082,1.352,8.834,21.693,1.4,13.378,1.334,0.624,1.154,3.107,0.363,2.967,0.316,0.608,0.215,9.992,22.316,1.912,1.183,0.295,8.357,8.486,2.154,0.961,0.252
945,19.333,1.229,8.13,20.474,1.192,11.672,1.27,0.59,0.995,1.896,0.317,1.863,0.285,0.988,0.203,9.655,20.425,1.706,1.318,0.267,6.842,7.468,1.736,0.943,0.262
946,15.875,1.11,7.088,17.039,0.991,9.173,1.309,0.618,0.875,1.052,0.295,1.108,0.271,1.494,0.201,9.027,17.773,1.74,1.473,0.25,5.27,6.18,1.548,0.983,0.301
947,11.722,1.035,6.108,12.561,0.865,6.758,1.372,0.708,0.841,0.661,0.305,0.851,0.283,1.98,0.212,8.436,15.185,1.874,1.638,0.245,4.094,5.023,1.659,1.083,0.371
948,7.977,1.019,5.458,8.428,0.839,5.08,1.394,0.829,0.913,0.599,0.347,1.028,0.318,2.288,0.234,8.083,13.28,1.976,1.828,0.252,3.551,4.449,2.001,1.209,0.46
949,5.374,1.049,5.169,5.592,0.898,4.306,1.359,0.935,1.095,0.659,0.412,1.443,0.37,2.314,0.258,7.967,12.247,2.015,2.062,0.266,3.696,4.718,2.446,1.306,0.545
950,4.051,1.099,5.056,4.255,1.012,4.253,1.326,0.983,1.384,0.714,0.486,1.911,0.427,2.067,0.277,7.861,11.846,2.034,2.326,0.282,4.337,5.734,2.89,1.326,0.602
951,3.699,1.136,5.063,4.089,1.147,4.715,1.368,0.953,1.767,0.757,0.55,2.304,0.478,1.645,0.284,7.727,11.606,2.046,2.569,0.3,5.175,7.104,3.252,1.252,0.616
952,3.873,1.133,5.246,4.619,1.265,5.553,1.526,0.852,2.191,0.812,0.589,2.576,0.511,1.181,0.283,7.622,11.247,2.065,2.709,0.317,5.901,8.345,3.519,1.102,0.588
